Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
111,Kevin Knox,SF,25,GSW,5,0,7.6,1.6,4,0.4,0.2,1.2,0.167,1.4,2.8,0.5,0.425,0.8,1,0.8,0.6,0.8,1.4,0.8,0,0.2,0.4,0.4,4.2
112,Tyler Kolek,PG,23,NYK,3,0,2,0.3,0.3,1,0.3,0.3,1,0,0,,1.5,0,0,,0,0.3,0.3,1,0,0,0,0,1
113,John Konchar,SG,28,MEM,4,0,17.3,0.8,2.3,0.333,0.3,1.5,0.167,0.5,0.8,0.667,0.389,1,1,1,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2,2.8
114,Luke Kornet,C,29,BOS,11,1,16.4,1.9,2.6,0.724,0,0,,1.9,2.6,0.724,0.724,0.7,0.7,1,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5
115,Jonathan Kuminga,PF,22,GSW,8,1,23.4,5.6,11.6,0.484,1.3,3.1,0.4,4.4,8.5,0.515,0.538,2.8,3.9,0.71,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3
116,Kyle Kuzma,PF,29,MIL,5,4,20.4,2.4,7,0.343,0.4,2,0.2,2,5,0.4,0.371,0.6,1.2,0.5,0.6,1.6,2.2,0.8,0,0.2,0.6,2.4,5.8
117,Jock Landale,C,29,HOU,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,2
118,Pelle Larsson,SG,23,MIA,4,0,13,2,3.8,0.533,0.8,2,0.375,1.3,1.8,0.714,0.633,0.3,0.8,0.333,0.5,1.8,2.3,1,0.3,0,0.5,1.5,5
119,Alex Len,C,31,LAL,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,0,0,,1.5,0.5,2,0,0,0,0,0,0
120,Kawhi Leonard,SF,33,LAC,7,7,37.9,9.4,17.6,0.537,2.1,5.3,0.405,7.3,12.3,0.593,0.598,4,5.1,0.778,1.6,6,7.6,4.7,1.1,0.7,2.1,1.7,25
121,Damian Lillard,PG,34,MIL,3,3,25,2,9,0.222,1,5.3,0.188,1,3.7,0.273,0.278,2,2.3,0.857,0.3,2.3,2.7,4.7,0.7,0.7,1,2.7,7
122,Chris Livingston,SF,21,MIL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.5,0.5,0,0,0,0,0,0
123,Kevon Looney,C,28,GSW,12,0,10,0.8,1.9,0.435,0,0,,0.8,1.9,0.435,0.435,0.5,0.7,0.75,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2
124,Brook Lopez,C,36,MIL,5,4,14.8,1.6,4.4,0.364,0.8,3,0.267,0.8,1.4,0.571,0.455,1,1,1,0.6,1,1.6,0.8,0.2,1,0.8,2.2,5
125,Bennedict Mathurin,SF,22,IND,22,0,17.5,3.1,6.7,0.459,0.8,2.7,0.3,2.3,4,0.568,0.52,4,4.7,0.864,1.2,2.1,3.3,0.9,0.4,0.3,1.2,1.9,11
126,Miles McBride,SG,24,NYK,18,0,18.9,1.9,5,0.378,1.2,3.3,0.373,0.7,1.7,0.387,0.5,0.8,0.9,0.824,0.2,1,1.2,1,0.4,0.1,0.6,1.2,5.8
127,T.J. McConnell,PG,32,IND,23,0,17.5,4.1,7.6,0.537,0.3,0.8,0.421,3.7,6.8,0.551,0.56,1,1.2,0.815,0.5,2.7,3.3,4,0.9,0.1,1.9,1.1,9.5
128,Jaden McDaniels,PF,24,MIN,15,15,33.1,5.8,11.3,0.515,1.4,3.7,0.382,4.4,7.6,0.579,0.577,1.7,1.9,0.893,1.8,3.8,5.6,1.5,1.3,0.9,1.2,3.3,14.7
129,Sam Merrill,SG,28,CLE,8,3,19.9,1.9,5,0.375,1.8,4.9,0.359,0.1,0.1,1,0.55,0.3,0.4,0.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8
130,Jordan Miller,SF,25,LAC,3,0,4.3,1,2.3,0.429,0,0.3,0,1,2,0.5,0.429,0.3,0.7,0.5,0,0.7,0.7,1.3,1,0,0,0,2.3
131,Leonard Miller,SF,21,MIN,3,0,4.3,2,2.7,0.75,0.3,0.3,1,1.7,2.3,0.714,0.813,0,0,,1,0.7,1.7,0,0,0,0.3,0,4.3
132,Patty Mills,PG,36,LAC,1,0,4,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,0,0,0,1,1,3
133,Shake Milton,SG,28,LAL,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0.5,0
134,Josh Minott,SF,22,MIN,5,0,4.6,0.4,1.6,0.25,0.2,1.2,0.167,0.2,0.4,0.5,0.313,0,0,,0,0,0,0.4,0,0.2,0.4,0.2,1
135,Ajay Mitchell,SG,22,OKC,12,0,7,1.3,2.9,0.457,0.4,1.1,0.385,0.9,1.8,0.5,0.529,0.3,0.4,0.8,0.3,0.5,0.8,0.8,0.2,0,0.5,0.6,3.4
136,Davion Mitchell,PG,26,MIA,4,3,35.5,6.3,10.3,0.61,1.8,3.5,0.5,4.5,6.8,0.667,0.695,0.8,1.8,0.429,0.5,1.8,2.3,6.3,0.8,0.3,2,2.8,15
137,Donovan Mitchell,SG,28,CLE,9,9,32,9.6,21.6,0.443,3.1,9.3,0.333,6.4,12.2,0.527,0.515,7.3,9.9,0.742,1.2,3.4,4.7,3.9,1.9,0.3,1.9,2,29.6
138,Evan Mobley,PF,23,CLE,8,8,32.1,6.4,10.9,0.586,1.8,3.9,0.452,4.6,7,0.661,0.667,2.6,3.1,0.84,2.6,5.5,8.1,1.6,1.1,1,1.4,1.3,17.1
139,Moses Moody,SG,22,GSW,12,2,16.1,2.3,6.7,0.35,1.3,3.8,0.333,1.1,2.9,0.371,0.444,1.2,1.4,0.824,0.8,1.4,2.2,1.2,0.5,0.3,0.3,1.3,7.1
140,Ja Morant,PG,25,MEM,3,3,27.3,7.3,17.7,0.415,1.3,5.3,0.25,6,12.3,0.486,0.453,2.3,3.7,0.636,0.3,1.7,2,5,0.7,0.7,2,1,18.3
141,Jamal Murray,PG,27,DEN,14,14,41.3,7.9,17.9,0.444,2.4,6.9,0.354,5.5,11,0.5,0.512,3.5,4,0.875,0.6,4.2,4.9,5.2,1.2,0.8,3.1,2.2,21.8
142,Andrew Nembhard,SG,25,IND,23,23,33.4,4.6,9.7,0.471,1.7,3.7,0.465,2.8,6,0.474,0.561,1.6,2,0.804,0.6,2.6,3.2,4.7,1.5,0.2,1.8,2.7,12.5
143,Aaron Nesmith,SF,25,IND,23,23,28.3,4.3,9.2,0.472,2.6,5.3,0.492,1.7,3.9,0.444,0.613,1.3,1.6,0.861,1.2,4.5,5.7,1.1,0.9,0.8,1,4.1,12.7
144,Zeke Nnaji,PF,24,DEN,6,0,5.7,0.2,1.3,0.125,0.2,1,0.167,0,0.3,0,0.188,0.7,1.2,0.571,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1,1.2
145,Chuma Okeke,PF,26,CLE,3,0,4.3,0.3,1.3,0.25,0.3,1.3,0.25,0,0,,0.375,0,0,,0,0,0,0.3,0.3,0,0,0,1
146,Isaac Okoro,SG,24,CLE,9,0,14.2,1.7,3.3,0.5,0.7,1.8,0.375,1,1.6,0.643,0.6,0.6,0.9,0.625,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6
147,Cameron Payne,PG,30,NYK,14,0,7.3,0.9,2.6,0.324,0.4,1.5,0.238,0.5,1.1,0.438,0.392,0.1,0.2,0.333,0,0.6,0.6,0.6,0.4,0.1,0.5,1.6,2.1
148,Gary Payton II,SG,32,GSW,11,1,16.4,1.9,4.3,0.447,0.8,2.1,0.391,1.1,2.2,0.5,0.543,0,0,,0.9,1.3,2.2,1.5,0.9,0,0.5,1.9,4.6
149,Jalen Pickett,SG,25,DEN,8,0,7.1,0.6,1.9,0.333,0.4,1.1,0.333,0.3,0.8,0.333,0.433,0,0,,0,0.9,0.9,0.6,0,0.1,0.8,0.4,1.6
150,Scotty Pippen Jr.,PG,24,MEM,4,4,32.3,5.5,14.5,0.379,2.5,7,0.357,3,7.5,0.4,0.466,4.8,4.8,1,1,4.5,5.5,3.5,1,0.3,3.5,4.8,18.3
151,Brandin Podziemski,SG,21,GSW,12,11,32.1,4,11,0.364,1.8,5.6,0.328,2.2,5.4,0.4,0.447,1.4,2,0.708,1.3,3.7,5,3.1,1.3,0.2,1.5,1.5,11.3
152,Craig Porter Jr.,PG,24,CLE,6,0,5.8,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0.5,0.5,1,1.5,0.5,0.3,0.3,0.3,2
153,Kevin Porter Jr.,SG,24,MIL,5,1,30.2,3.8,9.6,0.396,1.4,3,0.467,2.4,6.6,0.364,0.469,2.2,2.6,0.846,0.6,3,3.6,5.4,0.8,0,1.8,2.4,11.2
154,Michael Porter Jr.,SF,26,DEN,14,14,31.1,3.4,8.6,0.392,1.7,5,0.343,1.6,3.6,0.46,0.492,0.7,1,0.714,1,4.5,5.5,0.6,0.6,0.4,0.9,1.9,9.1
155,Bobby Portis,PF,29,MIL,5,1,31.6,6,13.6,0.441,2,5.6,0.357,4,8,0.5,0.515,0,0.2,0,1.6,6.6,8.2,1.4,0.4,0.4,1.2,1.6,14
156,Kristaps Porziņģis,C,29,BOS,11,7,21,2.3,7.2,0.316,0.4,2.4,0.154,1.9,4.8,0.396,0.342,2.8,4.1,0.689,1.9,2.7,4.6,0.7,0.9,0.8,0.9,2.4,7.7
157,Quinten Post,PF,24,GSW,12,2,12.2,1.3,4,0.333,0.8,2.7,0.313,0.5,1.3,0.375,0.438,0.3,0.3,0.75,0.5,1.8,2.3,1,0.3,0.3,0.5,1.7,3.8
158,Norman Powell,SG,31,LAC,7,7,34,6,12.7,0.472,2,5.7,0.35,4,7,0.571,0.551,2,2.6,0.778,0.1,2.3,2.4,2.4,1.1,0.3,1.7,2.1,16
159,Taurean Prince,SF,30,MIL,5,2,12.2,0.4,2,0.2,0.4,1.8,0.222,0,0.2,0,0.3,0,0,,0,1,1,1.6,0.4,0.2,1,0.6,1.2
160,Payton Pritchard,PG,27,BOS,11,0,27.5,4.1,9,0.455,2.5,6.1,0.403,1.6,2.9,0.563,0.591,1.3,1.5,0.824,0.8,1.5,2.3,1.5,0.5,0,0.8,1.7,11.9
161,Neemias Queta,C,25,BOS,4,0,3.3,1.3,1.5,0.833,0,0,,1.3,1.5,0.833,0.833,0,0,,0.5,0,0.5,0.5,0.3,0,0,0.5,2.5
162,Julius Randle,PF,30,MIN,15,15,35.5,7.7,15.3,0.502,2,5.2,0.385,5.7,10.1,0.563,0.568,4.4,5,0.88,1.8,4.1,5.9,4.9,0.8,0.1,3.3,3,21.7
163,Austin Reaves,SG,26,LAL,5,5,39.2,6,14.6,0.411,3,9.4,0.319,3,5.2,0.577,0.514,1.2,1.4,0.857,0.8,4.6,5.4,3.6,0.2,0.6,2.8,3.6,16.2
164,Paul Reed,C,25,DET,5,0,10.6,1,1.6,0.625,0,0,,1,1.6,0.625,0.625,0.8,1.2,0.667,1.4,1.6,3,0.2,1,0.6,1,1.6,2.8
165,Naz Reid,C,25,MIN,15,0,25,3.7,7.3,0.509,1.7,4.2,0.397,2.1,3.1,0.66,0.623,1.3,1.7,0.76,1.1,3.7,4.7,1.7,0.7,0.9,1.9,2.9,10.4
166,Duncan Robinson,SF,30,MIA,4,0,14.8,1.3,3.5,0.357,1,3,0.333,0.3,0.5,0.5,0.5,0.8,1,0.75,0,1,1,0.3,0,0,1.5,1.5,4.3
167,Mitchell Robinson,C,26,NYK,18,4,20.6,1.7,2.8,0.608,0,0,,1.7,2.8,0.608,0.608,1.2,3.1,0.393,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7
168,Ryan Rollins,PG,22,MIL,3,1,10,1.3,4.3,0.308,0.7,2.3,0.286,0.7,2,0.333,0.385,0,0,,0.3,0.3,0.7,1.3,0.3,0,0,1.3,3.3
169,Gui Santos,PF,22,GSW,10,0,7.2,0.9,1.7,0.529,0.4,1,0.4,0.5,0.7,0.714,0.647,0.4,0.6,0.667,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1,2.6
170,Baylor Scheierman,SG,24,BOS,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0,0,,0.3,0.8,1,0,0,0,0.3,0.5,2
171,Dennis Schröder,PG,31,DET,6,0,27.3,4.3,8.8,0.491,1.7,3.5,0.476,2.7,5.3,0.5,0.585,2.2,2.7,0.813,0.7,1.7,2.3,3.7,1.2,0.2,1.2,2,12.5
172,Alperen Şengün,C,22,HOU,7,7,36.6,8.4,18.7,0.45,0.4,1.1,0.375,8,17.6,0.455,0.462,3.6,5.7,0.625,3,8.9,11.9,5.3,1.9,0.4,2.1,3.7,20.9
173,Landry Shamet,SG,27,NYK,11,0,7.5,0.8,1.8,0.45,0.6,1.4,0.467,0.2,0.5,0.4,0.625,0.1,0.4,0.25,0,0.4,0.4,0.7,0.1,0,0.4,0.5,2.4
174,Terrence Shannon Jr.,SG,24,MIN,9,0,6.3,1.4,3,0.481,0.3,0.9,0.375,1.1,2.1,0.526,0.537,1.3,1.3,1,0.1,1,1.1,0.3,0.4,0,0.3,1,4.6
175,Ben Sheppard,SG,23,IND,21,0,14,1.1,2.4,0.471,0.7,1.8,0.395,0.4,0.6,0.692,0.618,0.2,0.2,1,0.4,1.5,1.9,0.4,0.4,0,0.5,1.8,3.2
176,Reed Sheppard,PG,20,HOU,3,0,3.3,0,0.7,0,0,0.7,0,0,0,,0,0,0,,0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0
177,Pascal Siakam,PF,30,IND,23,23,33.5,7.6,14.8,0.513,1.5,3.6,0.427,6.1,11.3,0.541,0.565,3.8,5.3,0.713,1.3,5,6.3,3.4,1.2,0.7,1.3,2.9,20.5
178,Ben Simmons,PG,28,LAC,5,0,8.4,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.6,0.8,1.4,0.8,0.2,0.8,0.4,2.2,0.8
179,Jericho Sims,C,26,MIL,5,0,11.6,1.2,1.2,1,0,0,,1.2,1.2,1,1,0.4,0.6,0.667,2.2,1.8,4,0.2,0,0.2,1,1,2.8
180,Jabari Smith Jr.,PF,21,HOU,7,0,20.4,2.4,4.9,0.5,1.4,3.1,0.455,1,1.7,0.583,0.647,1.1,1.4,0.8,1,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4
181,Pat Spencer,PG,28,GSW,8,0,7.9,2,3.1,0.64,0.1,0.4,0.333,1.9,2.8,0.682,0.66,0.4,0.4,1,0.6,0.8,1.4,0.8,0.4,0,0.8,1.1,4.5
182,Lamar Stevens,PF,27,MEM,2,0,6,1,4.5,0.222,0,1.5,0,1,3,0.333,0.222,0,0,,0,2,2,0.5,0,0,0.5,0.5,2
183,Isaiah Stewart,C,23,DET,1,0,19,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,4,5,1,0,2,0,5,2
184,Julian Strawther,SG,22,DEN,9,0,9.8,1.4,3.3,0.433,0.7,1.3,0.5,0.8,2,0.389,0.533,0.7,0.8,0.857,0.4,0.6,1,0.2,0.2,0.1,0.6,1.2,4.2
185,Max Strus,SF,28,CLE,9,9,28.1,4.1,9.9,0.416,2.9,7.4,0.388,1.2,2.4,0.5,0.562,0.6,0.7,0.833,1.8,3.9,5.7,3.9,0.7,0.2,0.8,2.6,11.7
186,Jayson Tatum,PF,26,BOS,8,8,40.3,9.3,21.9,0.423,3.6,9.8,0.372,5.6,12.1,0.464,0.506,6,6.8,0.889,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1
187,Amen Thompson,SF,22,HOU,7,7,33,6,12.1,0.494,0.1,0.6,0.25,5.9,11.6,0.506,0.5,3.6,5.1,0.694,2.7,4.1,6.9,3.3,1.7,0.9,1.7,2.6,15.7
188,Ausar Thompson,SF,22,DET,6,6,22.5,4,7,0.571,0,0.3,0,4,6.7,0.6,0.571,3.5,6,0.583,1.3,3.8,5.2,1,1.2,0.8,1.8,4.2,11.5
189,Tristan Thompson,C,33,CLE,3,0,9.7,1,2,0.5,0,0,,1,2,0.5,0.5,0.3,1,0.333,0.7,4.3,5,0.3,0.3,0.7,0.7,0.7,2.3
190,Xavier Tillman Sr.,C,26,BOS,1,0,8,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,1,2,3,0,0,0,0,0,2
191,Obi Toppin,PF,26,IND,23,0,19.1,3.6,7.4,0.485,1.1,3.4,0.321,2.5,4,0.624,0.558,1.1,1.6,0.694,0.6,3.3,3.8,1.3,0.7,0.3,1,2,9.4
192,Karl-Anthony Towns,C,29,NYK,18,18,35.5,7.7,15.8,0.488,1.4,4.1,0.351,6.3,11.7,0.536,0.533,4.6,5.4,0.845,2.1,9.5,11.6,1.3,0.7,0.7,2.2,4.3,21.4
193,Gary Trent Jr.,SG,26,MIL,5,3,34.2,6.4,12.4,0.516,4.4,8.8,0.5,2,3.6,0.556,0.694,1.6,2,0.8,0.2,2,2.2,1.2,2.6,0,0.6,1.8,18.8
194,P.J. Tucker,SF,39,NYK,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
195,Myles Turner,C,28,IND,23,23,29.3,4.6,9.5,0.484,1.3,3.9,0.344,3.3,5.6,0.581,0.555,3.2,4.2,0.771,1.2,3.6,4.8,1.4,0.5,2,1.7,3,13.8
196,Hunter Tyson,PF,24,DEN,5,0,6,1,2,0.5,0.2,1,0.2,0.8,1,0.8,0.55,0.8,0.8,1,0.8,0.8,1.6,0.4,0.2,0,0.2,0.6,3
197,Jaylon Tyson,SG,22,CLE,4,0,7.8,1.8,3.8,0.467,1.3,2.3,0.556,0.5,1.5,0.333,0.633,1.3,1.5,0.833,0.8,1,1.8,1.8,0.5,0.3,0.5,1,6
198,Jarred Vanderbilt,PF,25,LAL,5,0,12,0.4,1.2,0.333,0,0.2,0,0.4,1,0.4,0.333,0.6,0.8,0.75,0.8,3,3.8,1,0.6,0.2,0.6,1.8,1.4
199,Fred VanVleet,PG,30,HOU,7,7,40,5.7,13.3,0.43,3.9,8.9,0.435,1.9,4.4,0.419,0.575,3.4,3.4,1,0.4,3.7,4.1,4.4,1,0.3,1.9,2.3,18.7
200,Gabe Vincent,PG,28,LAL,5,0,19.8,1,2.8,0.357,0.8,2.6,0.308,0.2,0.2,1,0.5,0,0,,0,1,1,1,0.2,0.4,0.2,1.6,2.8
201,Dean Wade,PF,28,CLE,9,1,15.8,0.7,2,0.333,0.3,1.6,0.214,0.3,0.4,0.75,0.417,0,0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7
202,Franz Wagner,SF,23,ORL,5,5,39,10.2,23,0.443,1.4,7.4,0.189,8.8,15.6,0.564,0.474,4,5.2,0.769,0.6,4.2,4.8,5.6,1.2,0.4,2,3.2,25.8
203,Jarace Walker,PF,21,IND,12,0,9.8,1.1,2.8,0.382,0.7,1.7,0.4,0.4,1.2,0.357,0.5,0.2,0.3,0.5,0.2,1.6,1.8,0.7,0.2,0.2,0.6,0.8,3
204,Cason Wallace,SG,21,OKC,23,3,22.4,2.2,5.2,0.429,0.9,2.7,0.323,1.3,2.5,0.544,0.513,0.3,0.4,0.667,1,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6
205,Jordan Walsh,PF,20,BOS,5,0,3,0,0.2,0,0,0.2,0,0,0,,0,0,0,,0,0.2,0.2,0.2,0,0,0,0,0
206,Kel'el Ware,C,20,MIA,4,4,18.3,2,4.5,0.444,0.8,2.8,0.273,1.3,1.8,0.714,0.528,0,0,,1,3.8,4.8,1,0.3,0.5,0.5,0.8,4.8
207,Peyton Watson,SF,22,DEN,14,0,14.2,1.7,4.2,0.407,0.5,1.4,0.368,1.2,2.9,0.425,0.466,0.6,1.1,0.5,1,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5
208,Russell Westbrook,PG,36,DEN,13,0,24.1,4,10.2,0.391,1.5,4.8,0.317,2.5,5.4,0.457,0.466,2.2,3.1,0.7,1.5,2.2,3.7,2.6,0.9,0.1,2.3,3.2,11.7
209,Derrick White,SG,30,BOS,11,11,37.7,6.2,13.4,0.463,3.6,9.5,0.385,2.5,3.9,0.651,0.599,2.8,3.3,0.861,1.3,3.8,5.1,3.5,0.6,1.1,1.2,2,18.8
210,Cam Whitmore,SF,20,HOU,3,0,1.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0,0,0,0,0,0
211,Aaron Wiggins,SG,26,OKC,22,0,13.8,2.1,5.4,0.395,1.1,3.1,0.362,1,2.3,0.44,0.5,0.6,0.8,0.765,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1,6
212,Andrew Wiggins,SF,29,MIA,4,4,30.5,4,10.8,0.372,1.8,5,0.35,2.3,5.8,0.391,0.453,1.8,2.5,0.7,1,2.3,3.3,2.3,0.3,1.3,2.8,1.5,11.5
213,Jalen Williams,SG,23,OKC,23,23,34.6,7.7,17.2,0.449,1.5,5,0.304,6.2,12.2,0.509,0.494,4.4,5.6,0.789,1,4.5,5.5,4.8,1.4,0.4,1.8,2.2,21.4
214,Jaylin Williams,PF,22,OKC,17,0,8.3,0.9,2.1,0.429,0.5,1.5,0.36,0.4,0.6,0.6,0.557,0.4,0.6,0.545,0.2,1.6,1.9,1,0.5,0.1,0.7,1.8,2.6
215,Kenrich Williams,PF,30,OKC,16,0,8.6,1,2.5,0.4,0.3,1.3,0.2,0.8,1.3,0.6,0.45,0.2,0.4,0.5,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4
216,Nate Williams,SG,25,HOU,3,0,1.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0.3,0.3,0
217,Vince Williams Jr.,SG,24,MEM,3,0,12.7,1.3,2.3,0.571,1.3,2.3,0.571,0,0,,0.857,0.7,0.7,1,0.3,2,2.3,1.3,0.7,0.3,1,1,4.7
218,Delon Wright,PG,32,NYK,6,0,8,0.3,1.5,0.222,0.2,1,0.167,0.2,0.5,0.333,0.278,0.3,0.3,1,0.2,0.2,0.3,0.8,0.5,0.2,0.2,0,1.2
219,Ivica Zubac,C,27,LAC,7,7,36.6,7.7,11.7,0.659,0,0,,7.7,11.7,0.659,0.659,2,3.7,0.538,3.9,6.3,10.1,2.3,0.7,1,1.6,2.7,17.4
